"id","name","gender","banner","sinopse","year","duration","director","assesment","createdAt","updatedAt"
"17","The Lord of the Rings: The Fellowship of the Ring","Aventura","https://m.media-amazon.com/images/M/MV5BN2U5OTJiNTQtOTlhMC00MmViLTlkNmItZGFmYzQ4MmEzYzE5XkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg","Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.","2001","2 h 58 min","Peter Jackson","10","2025-05-14 01:17:32.443+00","2025-05-14 01:17:32.443+00"
"18","The Lord of the Rings: The Two Towers","Não encontrado","https://m.media-amazon.com/images/M/MV5BNmRhNGRmNDQtMmI3Yy00OTRjLThjOWEtMmEwZmMxNTFjMWQ3XkEyXkFqcGc@._V1_QL75_UX190_CR0,11,190,281_.jpg","Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.","2002","2 h 59 min","Peter Jackson","10","2025-05-14 01:17:34.366+00","2025-05-14 01:17:34.366+00"
"19","Joker","Não encontrado","https://m.media-amazon.com/images/M/MV5BNzM3ODNlNTAtYTYxNy00NjZhLTg3MGMtYTIwOWYxNzAwMzQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Um comediante falido enlouquece e se torna um assassino psicopata.","2019","2 h 2 min","Todd Phillips","9","2025-05-14 01:31:03.406+00","2025-05-14 01:31:03.406+00"
"20","Sonic","Não encontrado","https://m.media-amazon.com/images/M/MV5BODU3NTM2NzItZWYxOS00MzQxLTliNTMtNDFmMzg4YTkxNjc5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Sonic, Knuckles e Tails se reúnem contra um novo e poderoso adversário, Shadow, um vilão misterioso com poderes diferentes de tudo o que já enfrentaram antes. Com suas habilidades excepcionais, a Equipe Sonic busca uma aliança improvável.","2024","1 h 50 min","Jeff Fowler","8","2025-05-14 01:37:15.743+00","2025-05-14 01:37:15.743+00"
"21","A Origem","Christopher Nolan","https://m.media-amazon.com/images/M/MV5BZmIxYzJkYWQtOWQ4ZS00NjhlLTk0OTMtN2I4ZWQxZGEyZDVhXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg","Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.","2010","2 h 28 min","Christopher Nolan","10","2025-05-14 02:14:20.453+00","2025-05-14 02:14:20.453+00"
"22","O Poderoso Chefão","Francis Ford Coppola","https://m.media-amazon.com/images/M/MV5BYTRmMjkwYzYtYTRiMi00NDJjLTk1NjctMDA3MjY2ZWIyMGQ5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg","O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.","1972","2 h 55 min","Francis Ford Coppola","10","2025-05-14 02:14:24.018+00","2025-05-14 02:14:24.018+00"
